"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"ARCHETYPED","ARCHETYPED","","","",0,*,"","","","null {[]} {[]}
","Archetypes act as the configuration basis for the particular structures of instances defined by the reference model.","Archetypes act as the configuration basis for the particular structures of instances defined by the reference model. To enable archetypes to be used to create valid data, key classes in the reference model act as  root  points for archetyping; accordingly, these classes have the `_archetype_details_` attribute set. 

An instance of the class `ARCHETYPED` contains the relevant archetype identification information, allowing generating archetypes to be matched up with data instances.","","","","","","","","","",,,,,"",,,,"Base",0,*,"","rm_version_valid:rm version valid must not be empty {rm_version.empty().not()}
Rm_version_valid:Rm version valid must not be empty {rm_version.empty().not()}","n/a"
"ARCHETYPED.archetype-id","ARCHETYPED.archetype_id","","","",1,1,"","","","http://openehr.org/fhir/StructureDefinition/ARCHETYPE-ID {[]} {[]}
","Globally unique archetype identifier.","Globally unique archetype identifier.","","","","","","","","","",,,,,"",,,,"ARCHETYPED.archetype_id",1,1,"",""
"ARCHETYPED.template-id","ARCHETYPED.template_id","","","",0,1,"","","","http://openehr.org/fhir/StructureDefinition/TEMPLATE-ID {[]} {[]}
","Globally unique template identifier, if a template was active at this point in the structure.","Globally unique template identifier, if a template was active at this point in the structure. Normally, a template would only be used at the top of a top-level structure, but the possibility exists for templates at lower levels.","","","","","","","","","",,,,,"",,,,"ARCHETYPED.template_id",0,1,"",""
"ARCHETYPED.rm-version","ARCHETYPED.rm_version","","","",1,1,"","","","string {[]} {[]}
","Version of the openEHR reference model used to create this object.","Version of the openEHR reference model used to create this object. Expressed in terms of the release version string, e.g.  1.0 ,  1.2.4 .","","","","","","","","","",,,,,"",,,,"ARCHETYPED.rm_version",1,1,"",""
