"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"RESOURCE_DESCRIPTION","RESOURCE_DESCRIPTION","","","",0,*,"","","","null {[]} {[]}
","Defines the descriptive meta-data of a resource.","Defines the descriptive meta-data of a resource.","","","","","","","","","",,,,,"",,,,"Base",0,*,"","Original_author_valid:Original author valid must not be empty {original_author.empty().not()}
Lifecycle_state_valid:Lifecycle state valid must not be empty {lifecycle_state.empty().not()}Details_valid:Details valid must not be empty {details.empty().not()}Language_valid:Language valid must be present {parent_resource.exists() implies details.for_all (d | parent_resource.languages_available.has (d.language.code_string))}Parent_resource_valid:Parent resource valid must be present {parent_resource.exists() implies parent_resource.description = self}","n/a"
"RESOURCE_DESCRIPTION.original-author","RESOURCE_DESCRIPTION.original_author","","","",1,1,"","","","http://openehr.org/fhir/StructureDefinition/Hash {[]} {[]}
","Original author of this resource, with all relevant details, including organisation.","Original author of this resource, with all relevant details, including organisation.","","","","","","","","","",,,,,"",,,,"RESOURCE_DESCRIPTION.original_author",1,1,"",""
"RESOURCE_DESCRIPTION.other-contributors","RESOURCE_DESCRIPTION.other_contributors","","","",0,*,"","","","string {[]} {[]}
","Other contributors to the resource, probably listed in  `'name <email>'`  form.","Other contributors to the resource, probably listed in  `'name <email>'`  form.","","","","","","","","","",,,,,"",,,,"RESOURCE_DESCRIPTION.other_contributors",0,*,"",""
"RESOURCE_DESCRIPTION.lifecycle-state","RESOURCE_DESCRIPTION.lifecycle_state","","","",1,1,"","","","string {[]} {[]}
","Lifecycle state of the resource, typically including states such as: `initial | submitted | experimental | awaiting_approval | approved | superseded | obsolete`.","Lifecycle state of the resource, typically including states such as: `initial | submitted | experimental | awaiting_approval | approved | superseded | obsolete`.","","","","","","","","","",,,,,"",,,,"RESOURCE_DESCRIPTION.lifecycle_state",1,1,"",""
"RESOURCE_DESCRIPTION.resource-package-uri","RESOURCE_DESCRIPTION.resource_package_uri","","","",0,1,"","","","string {[]} {[]}
","URI of package to which this resource belongs.","URI of package to which this resource belongs.","","","","","","","","","",,,,,"",,,,"RESOURCE_DESCRIPTION.resource_package_uri",0,1,"",""
"RESOURCE_DESCRIPTION.other-details","RESOURCE_DESCRIPTION.other_details","","","",0,1,"","","","http://openehr.org/fhir/StructureDefinition/Hash {[]} {[]}
","Additional non language-senstive resource meta-data, as a list of name/value pairs.","Additional non language-senstive resource meta-data, as a list of name/value pairs.","","","","","","","","","",,,,,"",,,,"RESOURCE_DESCRIPTION.other_details",0,1,"",""
"RESOURCE_DESCRIPTION.parent-resource","RESOURCE_DESCRIPTION.parent_resource","","","",1,1,"","","","http://openehr.org/fhir/StructureDefinition/AUTHORED-RESOURCE {[]} {[]}
","Reference to owning resource.","Reference to owning resource.","","","","","","","","","",,,,,"",,,,"RESOURCE_DESCRIPTION.parent_resource",1,1,"",""
"RESOURCE_DESCRIPTION.details","RESOURCE_DESCRIPTION.details","","","",1,1,"","","","http://openehr.org/fhir/StructureDefinition/Hash {[]} {[]}
","Details of all parts of resource description that are natural language-dependent, keyed by language code.","Details of all parts of resource description that are natural language-dependent, keyed by language code.","","","","","","","","","",,,,,"",,,,"RESOURCE_DESCRIPTION.details",1,1,"",""
