"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"SYNC_EXTRACT_SPEC","SYNC_EXTRACT_SPEC","","","",0,*,"","","","null {[]} {[]}
","Details of specification of Extract, used in a request to specify an Extract, or in a response, to describe what is actually in the Extract.","Details of specification of Extract, used in a request to specify an Extract, or in a response, to describe what is actually in the Extract.","","","","","","","","","",,,,,"",,,,"Base",0,*,"","","n/a"
"SYNC_EXTRACT_SPEC.includes-versions","SYNC_EXTRACT_SPEC.includes_versions","","","",1,1,"","","","boolean {[]} {[]}
","True if the Versions from the Contribution are included; False if just the Contribution and its Audit are included.","True if the Versions from the Contribution are included; False if just the Contribution and its Audit are included.","","","","","","","","","",,,,,"",,,,"SYNC_EXTRACT_SPEC.includes_versions",1,1,"",""
"SYNC_EXTRACT_SPEC.contribution-list","SYNC_EXTRACT_SPEC.contribution_list","","","",0,*,"","","","http://openehr.org/fhir/StructureDefinition/HIER-OBJECT-ID {[]} {[]}
","List of Contributions to include / that are included in the Extract.","List of Contributions to include / that are included in the Extract.","","","","","","","","","",,,,,"",,,,"SYNC_EXTRACT_SPEC.contribution_list",0,*,"",""
"SYNC_EXTRACT_SPEC.contributions-since","SYNC_EXTRACT_SPEC.contributions_since","","","",0,1,"","","","http://openehr.org/fhir/StructureDefinition/DV-DATE-TIME {[]} {[]}
","Specify Contributions included in Extract by threshold date.","Specify Contributions included in Extract by threshold date.","","","","","","","","","",,,,,"",,,,"SYNC_EXTRACT_SPEC.contributions_since",0,1,"",""
"SYNC_EXTRACT_SPEC.all-contributions","SYNC_EXTRACT_SPEC.all_contributions","","","",0,1,"","","","boolean {[]} {[]}
","True if all Contributions in the record are included.","True if all Contributions in the record are included.","","","","","","","","","",,,,,"",,,,"SYNC_EXTRACT_SPEC.all_contributions",0,1,"",""
