"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"DV_BOOLEAN","DV_BOOLEAN","","","",0,*,"","","","null {[]} {[]}
","Items which are truly boolean data, such as true/false or yes/no answers.","Items which are truly boolean data, such as true/false or yes/no answers. For such data, it is important to devise the meanings (usually questions in subjective data)  carefully, so that the only allowed results are in fact true or false. 

Misuse: The DV_BOOLEAN class should not be used as a replacement for naively modelled enumerated types such as male/female etc. Such values should be coded, and in any case the enumeration often has more than two values. 
","","","","","","","","","",,,,,"",,,,"Base",0,*,"","","n/a"
"DV_BOOLEAN.CR","DV_BOOLEAN.CR","","","",1,1,"","","","string {[]} {[]}
","Carriage return character.","Carriage return character.","","","","","","","","","",,,,,"",,,,"BASIC_DEFINITIONS.CR",1,1,"",""
"DV_BOOLEAN.LF","DV_BOOLEAN.LF","","","",1,1,"","","","string {[]} {[]}
","Line feed character.","Line feed character.","","","","","","","","","",,,,,"",,,,"BASIC_DEFINITIONS.LF",1,1,"",""
"DV_BOOLEAN.Local-terminology-id","DV_BOOLEAN.Local_terminology_id","","","",1,1,"","","","string {[]} {[]}
","Predefined terminology identifier","Predefined terminology identifier to indicate it is local to the knowledge resource in which it occurs, e.g. an archetype","","","","","","","","","",,,,,"",,,,"OPENEHR_DEFINITIONS.Local_terminology_id",1,1,"",""
"DV_BOOLEAN.value","DV_BOOLEAN.value","","","",1,1,"","","","boolean {[]} {[]}
","Boolean value of this item.","Boolean value of this item. Actual values may be language or implementation dependent.","","","","","","","","","",,,,,"",,,,"DV_BOOLEAN.value",1,1,"",""
