"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"CODE_PHRASE","CODE_PHRASE","","","",0,*,"","","","null {[]} {[]}
","A fully coordinated (i.","A fully coordinated (i.e. all coordination has been performed) term from a terminology service (as distinct from a particular terminology). ","","","","","","","","","",,,,,"",,,,"Base",0,*,"","Code_string_valid:Code string valid must not be empty {code_string.empty().not()}
","n/a"
"CODE_PHRASE.terminology-id","CODE_PHRASE.terminology_id","","","",1,1,"","","","http://openehr.org/fhir/StructureDefinition/TERMINOLOGY-ID {[]} {[]}
","Identifier of the distinct terminology from which the code_string (or its elements) was extracted.","Identifier of the distinct terminology from which the code_string (or its elements) was extracted.","","","","","","","","","",,,,,"",,,,"CODE_PHRASE.terminology_id",1,1,"",""
"CODE_PHRASE.code-string","CODE_PHRASE.code_string","","","",1,1,"","","","string {[]} {[]}
","The key used by the terminology service to identify a concept or coordination of concepts.","The key used by the terminology service to identify a concept or coordination of concepts. This string is most likely parsable inside the terminology service, but nothing can be assumed about its syntax outside that context.","","","","","","","","","",,,,,"",,,,"CODE_PHRASE.code_string",1,1,"",""
"CODE_PHRASE.preferred-term","CODE_PHRASE.preferred_term","","","",0,1,"","","","string {[]} {[]}
","Optional attribute to carry preferred term corresponding to the code or expression in `_code_string_`.","Optional attribute to carry preferred term corresponding to the code or expression in `_code_string_`. Typical use in integration situations which create mappings, and representing data for which both a (non-preferred) actual term and a preferred term are both required.","","","","","","","","","",,,,,"",,,,"CODE_PHRASE.preferred_term",0,1,"",""
