"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"IMPORTED_VERSION","IMPORTED_VERSION","","","",0,*,"","","","null {[]} {[]}
","Versions whose content is an `ORIGINAL_VERSION` copied from another location; this class inherits `_commit_audit_` and `_contribution_` from `VERSION<T>`, providing imported versions with their own audit trail and Contribution, distinct from those of the imported `ORIGINAL_VERSION`.","Versions whose content is an `ORIGINAL_VERSION` copied from another location; this class inherits `_commit_audit_` and `_contribution_` from `VERSION<T>`, providing imported versions with their own audit trail and Contribution, distinct from those of the imported `ORIGINAL_VERSION`. ","","","","","","","","","",,,,,"",,,,"Base",0,*,"","Owner_id_valid:Owner id valid {owner_id().value().is_equal (uid().object_id.value())}
Preceding_version_uid_validity:Preceding version uid validity must be present {uid().version_tree_id.is_first xor preceding_version_uid().exists()}Lifecycle_state_ valid:Lifecycle state  valid must be present {lifecycle_state().exists() and then terminology (Term_id_openehr).has_code_for_group_id (Group_id_version_lifecycle_state, lifecycle_state().defining_code)}","n/a"
"IMPORTED_VERSION.contribution","IMPORTED_VERSION.contribution","","","",1,1,"","","","http://openehr.org/fhir/StructureDefinition/OBJECT-REF {[]} {[]}
","Contribution in which this version was added.","Contribution in which this version was added.","","","","","","","","","",,,,,"",,,,"VERSION.contribution",1,1,"",""
"IMPORTED_VERSION.signature","IMPORTED_VERSION.signature","","","",0,1,"","","","string {[]} {[]}
","OpenPGP digital signature or digest of content committed in this Version.","OpenPGP digital signature or digest of content committed in this Version.","","","","","","","","","",,,,,"",,,,"VERSION.signature",0,1,"",""
"IMPORTED_VERSION.commit-audit","IMPORTED_VERSION.commit_audit","","","",1,1,"","","","http://openehr.org/fhir/StructureDefinition/AUDIT-DETAILS {[]} {[]}
","Audit trail corresponding to the committal of this version to the `VERSIONED_OBJECT`.","Audit trail corresponding to the committal of this version to the `VERSIONED_OBJECT`.","","","","","","","","","",,,,,"",,,,"VERSION.commit_audit",1,1,"",""
"IMPORTED_VERSION.item","IMPORTED_VERSION.item","","","",1,1,"","","","http://openehr.org/fhir/StructureDefinition/ORIGINAL-VERSION {[]} {[]}
","The `ORIGINAL_VERSION` object that was imported.","The `ORIGINAL_VERSION` object that was imported.","","","","","","","","","",,,,,"",,,,"IMPORTED_VERSION.item",1,1,"",""
