"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"VERSION","VERSION","","","",0,*,"","","","null {[]} {[]}
","Abstract model of one Version within a Version container, containing data, commit audit trail, and the identifier of its Contribution.","Abstract model of one Version within a Version container, containing data, commit audit trail, and the identifier of its Contribution.","","","","","","","","","",,,,,"",,,,"Base",0,*,"","Owner_id_valid:Owner id valid {owner_id().value().is_equal (uid().object_id.value())}
Preceding_version_uid_validity:Preceding version uid validity must be present {uid().version_tree_id.is_first xor preceding_version_uid().exists()}Lifecycle_state_ valid:Lifecycle state  valid must be present {lifecycle_state().exists() and then terminology (Term_id_openehr).has_code_for_group_id (Group_id_version_lifecycle_state, lifecycle_state().defining_code)}","n/a"
"VERSION.contribution","VERSION.contribution","","","",1,1,"","","","http://openehr.org/fhir/StructureDefinition/OBJECT-REF {[]} {[]}
","Contribution in which this version was added.","Contribution in which this version was added.","","","","","","","","","",,,,,"",,,,"VERSION.contribution",1,1,"",""
"VERSION.signature","VERSION.signature","","","",0,1,"","","","string {[]} {[]}
","OpenPGP digital signature or digest of content committed in this Version.","OpenPGP digital signature or digest of content committed in this Version.","","","","","","","","","",,,,,"",,,,"VERSION.signature",0,1,"",""
"VERSION.commit-audit","VERSION.commit_audit","","","",1,1,"","","","http://openehr.org/fhir/StructureDefinition/AUDIT-DETAILS {[]} {[]}
","Audit trail corresponding to the committal of this version to the `VERSIONED_OBJECT`.","Audit trail corresponding to the committal of this version to the `VERSIONED_OBJECT`.","","","","","","","","","",,,,,"",,,,"VERSION.commit_audit",1,1,"",""
