"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"ACCESS_CONTROL_SETTINGS","ACCESS_CONTROL_SETTINGS","","","",0,*,"","","","","Access Control Settings for the EHR and components.","Access Control Settings for the EHR and components. Intended to support multiple access control schemes. Currently implementation dependent.","","","","","","","","","",,,,,"",,,,"Base",0,*,"","","n/a"
