"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"ORIGINAL_VERSION","ORIGINAL_VERSION","","","",0,*,"","","","null {[]} {[]}
","A Version containing locally created content and optional attestations.","A Version containing locally created content and optional attestations. ","","","","","","","","","",,,,,"",,,,"Base",0,*,"","Owner_id_valid:Owner id valid {owner_id().value().is_equal (uid().object_id.value())}
Preceding_version_uid_validity:Preceding version uid validity must be present {uid().version_tree_id.is_first xor preceding_version_uid().exists()}Lifecycle_state_ valid:Lifecycle state  valid must be present {lifecycle_state().exists() and then terminology (Term_id_openehr).has_code_for_group_id (Group_id_version_lifecycle_state, lifecycle_state().defining_code)}Attestations_valid:Attestations valid must be present {attestations.exists() implies attestations.empty().not()}Is_merged_validity:Is merged validity must satisfy exclusive conditions {other_input_version_ids .empty() xor is_merged()}Other_input_version_uids_valid:Other input version uids valid must be present {other_input_version_uids.exists() implies other_input_version_uids.empty().not()}","n/a"
"ORIGINAL_VERSION.contribution","ORIGINAL_VERSION.contribution","","","",1,1,"","","","http://openehr.org/fhir/StructureDefinition/OBJECT-REF {[]} {[]}
","Contribution in which this version was added.","Contribution in which this version was added.","","","","","","","","","",,,,,"",,,,"VERSION.contribution",1,1,"",""
"ORIGINAL_VERSION.signature","ORIGINAL_VERSION.signature","","","",0,1,"","","","string {[]} {[]}
","OpenPGP digital signature or digest of content committed in this Version.","OpenPGP digital signature or digest of content committed in this Version.","","","","","","","","","",,,,,"",,,,"VERSION.signature",0,1,"",""
"ORIGINAL_VERSION.commit-audit","ORIGINAL_VERSION.commit_audit","","","",1,1,"","","","http://openehr.org/fhir/StructureDefinition/AUDIT-DETAILS {[]} {[]}
","Audit trail corresponding to the committal of this version to the `VERSIONED_OBJECT`.","Audit trail corresponding to the committal of this version to the `VERSIONED_OBJECT`.","","","","","","","","","",,,,,"",,,,"VERSION.commit_audit",1,1,"",""
"ORIGINAL_VERSION.uid","ORIGINAL_VERSION.uid","","","",1,1,"","","","http://openehr.org/fhir/StructureDefinition/OBJECT-VERSION-ID {[]} {[]}
","Stored version of inheritance precursor.","Stored version of inheritance precursor.","","","","","","","","","",,,,,"",,,,"ORIGINAL_VERSION.uid",1,1,"",""
"ORIGINAL_VERSION.preceding-version-uid","ORIGINAL_VERSION.preceding_version_uid","","","",0,1,"","","","http://openehr.org/fhir/StructureDefinition/OBJECT-VERSION-ID {[]} {[]}
","Stored version of inheritance precursor.","Stored version of inheritance precursor.","","","","","","","","","",,,,,"",,,,"ORIGINAL_VERSION.preceding_version_uid",0,1,"",""
"ORIGINAL_VERSION.other-input-version-uids","ORIGINAL_VERSION.other_input_version_uids","","","",0,*,"","","","http://openehr.org/fhir/StructureDefinition/OBJECT-VERSION-ID {[]} {[]}
","Identifiers of other versions whose content was merged into this version, if any.","Identifiers of other versions whose content was merged into this version, if any.","","","","","","","","","",,,,,"",,,,"ORIGINAL_VERSION.other_input_version_uids",0,*,"",""
"ORIGINAL_VERSION.lifecycle-state","ORIGINAL_VERSION.lifecycle_state","","","",1,1,"","","","http://openehr.org/fhir/StructureDefinition/DV-CODED-TEXT {[]} {[]}
","Lifecycle state of the content item in this version; coded by openEHR vocabulary `version lifecycle state`.","Lifecycle state of the content item in this version; coded by openEHR vocabulary `version lifecycle state`.","","","","","","","","","",,,,,"",,,,"ORIGINAL_VERSION.lifecycle_state",1,1,"",""
"ORIGINAL_VERSION.attestations","ORIGINAL_VERSION.attestations","","","",0,*,"","","","http://openehr.org/fhir/StructureDefinition/ATTESTATION {[]} {[]}
","Set of attestations relating to this version.","Set of attestations relating to this version.","","","","","","","","","",,,,,"",,,,"ORIGINAL_VERSION.attestations",0,*,"",""
"ORIGINAL_VERSION.data","ORIGINAL_VERSION.data","","","",0,1,"","","","http://openehr.org/fhir/StructureDefinition/T {[]} {[]}
","Data content of this Version.","Data content of this Version.","","","","","","","","","",,,,,"",,,,"ORIGINAL_VERSION.data",0,1,"",""
