"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"DV_STATE","DV_STATE","","","",0,*,"","","","null {[]} {[]}
","For representing state values which obey a defined state machine, such as a variable  representing the states of an instruction or care process.","For representing state values which obey a defined state machine, such as a variable  representing the states of an instruction or care process. 

DV_STATE is expressed as a String but its values are driven by archetype-defined  state machines. This provides a powerful way of capturing stateful complex processes  in simple data. 
","","","","","","","","","",,,,,"",,,,"Base",0,*,"","","n/a"
"DV_STATE.CR","DV_STATE.CR","","","",1,1,"","","","string {[]} {[]}
","Carriage return character.","Carriage return character.","","","","","","","","","",,,,,"",,,,"BASIC_DEFINITIONS.CR",1,1,"",""
"DV_STATE.LF","DV_STATE.LF","","","",1,1,"","","","string {[]} {[]}
","Line feed character.","Line feed character.","","","","","","","","","",,,,,"",,,,"BASIC_DEFINITIONS.LF",1,1,"",""
"DV_STATE.Local-terminology-id","DV_STATE.Local_terminology_id","","","",1,1,"","","","string {[]} {[]}
","Predefined terminology identifier","Predefined terminology identifier to indicate it is local to the knowledge resource in which it occurs, e.g. an archetype","","","","","","","","","",,,,,"",,,,"OPENEHR_DEFINITIONS.Local_terminology_id",1,1,"",""
"DV_STATE.value","DV_STATE.value","","","",1,1,"","","","http://openehr.org/fhir/StructureDefinition/DV-CODED-TEXT {[]} {[]}
","The state name.","The state name. State names are determined by a state/event table defined in archetypes, and coded using openEHR Terminology or local archetype terms, as specified by the archetype.","","","","","","","","","",,,,,"",,,,"DV_STATE.value",1,1,"",""
"DV_STATE.is-terminal","DV_STATE.is_terminal","","","",1,1,"","","","boolean {[]} {[]}
","Indicates whether this state is a terminal state, such as  ""aborted"",  ""completed"" etc.","Indicates whether this state is a terminal state, such as  ""aborted"",  ""completed"" etc. from which no further transitions are possible.","","","","","","","","","",,,,,"",,,,"DV_STATE.is_terminal",1,1,"",""
