"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"CONTRIBUTION","CONTRIBUTION","","","",0,*,"","","","null {[]} {[]}
","Documents a Contribution (change set) of one or more versions added to a change-controlled repository.","Documents a Contribution (change set) of one or more versions added to a change-controlled repository. ","","","","","","","","","",,,,,"",,,,"Base",0,*,"","","n/a"
"CONTRIBUTION.uid","CONTRIBUTION.uid","","","",1,1,"","","","http://openehr.org/fhir/StructureDefinition/HIER-OBJECT-ID {[]} {[]}
","Unique identifier for this Contribution.","Unique identifier for this Contribution.","","","","","","","","","",,,,,"",,,,"CONTRIBUTION.uid",1,1,"",""
"CONTRIBUTION.versions","CONTRIBUTION.versions","","","",1,*,"","","","http://openehr.org/fhir/StructureDefinition/OBJECT-REF {[]} {[]}
","Set of references to Versions causing changes to this EHR.","Set of references to Versions causing changes to this EHR. Each contribution contains a list of versions, which may include paths pointing to any number of versionable items, i.e. items of types such as `COMPOSITION` and `FOLDER`.","","","","","","","","","",,,,,"",,,,"CONTRIBUTION.versions",1,*,"",""
"CONTRIBUTION.audit","CONTRIBUTION.audit","","","",1,1,"","","","http://openehr.org/fhir/StructureDefinition/AUDIT-DETAILS {[]} {[]}
","Audit trail corresponding to the committal of this Contribution.","Audit trail corresponding to the committal of this Contribution.","","","","","","","","","",,,,,"",,,,"CONTRIBUTION.audit",1,1,"",""
