"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"WebTemplateTermBinding","WebTemplateTermBinding","","","",0,*,"","","","null {[]} {[]}
","todo","Base definition for all types defined in FHIR type system.","","","","","","","","","",,,,,"",,,,"Base",0,*,"","","n/a"
"WebTemplateTermBinding.code","WebTemplateTermBinding.code","","","",1,1,"","","","code {[]} {[]}
","Which terminology is bound","","","","","","","","","","",,"required","","https://specifications.openehr.org/fhir/valueset-term-binding-type","",,,,"WebTemplateTermBinding.code",1,1,"",""
"WebTemplateTermBinding.value","WebTemplateTermBinding.value","","","",1,1,"","","","http://openehr.org/fhir/StructureDefinition/WebTemplateTermBindingValue {[]} {[]}
","The binding","","","","","","","","","","",,,,,"",,,,"WebTemplateTermBinding.value",1,1,"",""
