"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"WebTemplate","WebTemplate","","","",0,*,"","","","null {[]} {[]}
","The grouping variant of ITEM, which may contain further instances of ITEM, in an ordered list","The grouping variant of ITEM, which may contain further instances of ITEM, in an ordered list.","","","","","","","","","",,,,,"",,,,"Base",0,*,"","","n/a"
"WebTemplate.templateId","WebTemplate.templateId","","","",1,1,"","","","string {[]} {[]}
","Operational template ID","","","","","","","","","","",,,,,"",,,,"WebTemplate.templateId",1,1,"",""
"WebTemplate.version","WebTemplate.version","","","",1,1,"","","","string {[]} {[]}
","Web template structure version","","","","","","","","","","",,,,,"",,,,"WebTemplate.version",1,1,"",""
"WebTemplate.semver","WebTemplate.semver","","","",0,1,"","","","string {[]} {[]}
","The semantic version number of the openEHR template","","","","","","","","","","",,,,,"",,,,"WebTemplate.semver",0,1,"",""
"WebTemplate.defaultLanguage","WebTemplate.defaultLanguage","","","",1,1,"","","","string {[]} {[]}
","Default labels for fields will be in this language","","","","","","","","","","",,,,,"",,,,"WebTemplate.defaultLanguage",1,1,"",""
"WebTemplate.languages","WebTemplate.languages","","","",0,*,"","","","string {[]} {[]}
","Array of additional languages. Labels for fields and coded texts will also be available in these additional languages, provided that the operational template has them","","","","","","","","","","",,,,,"",,,,"WebTemplate.languages",0,*,"",""
"WebTemplate.tree","WebTemplate.tree","","","",1,1,"","","","http://openehr.org/fhir/StructureDefinition/WebTemplateItem {[]} {[]}
","Hierarchical structure of nodes each one potentially having further children","","","","","","","","","","",,,,,"",,,,"WebTemplate.tree",1,1,"",""
