"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"PARTY_REF","PARTY_REF","","","",0,*,"","","","null {[]} {[]}
","Identifier for parties in a demographic or identity service; typically a number of subtypes of the PARTY class, including PERSON, ORGANISATION, etc","Identifier for parties in a demographic or identity service. There are typically a number of subtypes of the PARTY class, including PERSON, ORGANISATION, etc. Abstract supertypes are allowed if the referenced object is of a type not known by the current implementation of this class (in other words, if the demographic model is changed by the addition of a new PARTY or ACTOR subtypes, valid PARTY_REFs can still be constructed to them).","","","","","","","","","",,,,,"",,,,"Base",0,*,"","","n/a"
"PARTY_REF.namespace","PARTY_REF.namespace","","","",1,1,"","","","string {[]} {[]}
","Namespace to which this identifier belongs in the local system context (and possibly in any other openEHR compliant environment)","Namespace to which this identifier belongs in the local system context (and possibly in any other openEHR compliant environment) e.g. terminology , demographic . These names are not yet standardised. Legal values for namespace are: 'local', 'unknown', or a string matching the standard regex [a-zA-Z][a-zA-Z0-9_.:/&?=+-]*. Note that the first two are just special values of the regex, and will be matched by it.","","","","","","","","","",,,,,"",,,,"OBJECT_REF.namespace",1,1,"",""
"PARTY_REF.type","PARTY_REF.type","","","",1,1,"","","","string {[]} {[]}
","Name of the class (concrete or abstract) of object to which this identifier type refers. These class names are from the relevant reference model","Name of the class (concrete or abstract) of object to which this identifier type refers, e.g. PARTY, PERSON, GUIDELINE etc. These class names are from the relevant reference model. The type name ANY can be used to indicate that any type is accepted (e.g. if the type is unknown).","","","","","","","","","",,,,,"",,,,"OBJECT_REF.type",1,1,"",""
"PARTY_REF.id","PARTY_REF.id","","","",1,1,"","","","http://openehr.org/fhir/StructureDefinition/OBJECT-ID {[]} {[]}
","Globally unique id of an object, regardless of where it is stored","Globally unique id of an object, regardless of where it is stored.","","","","","","","","","",,,,,"",,,,"OBJECT_REF.id",1,1,"",""
