"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"SYNC_EXTRACT","SYNC_EXTRACT","","","",0,*,"","","","null {[]} {[]}
","Abstract parent of message payload types.","Abstract parent of message payload types.","","","","","","","","","",,,,,"",,,,"Base",0,*,"","","n/a"
"SYNC_EXTRACT.specification","SYNC_EXTRACT.specification","","","",1,1,"","","","http://openehr.org/fhir/StructureDefinition/SYNC-EXTRACT-SPEC {[]} {[]}
","Details of specification of this Extract.","Details of specification of this Extract.","","","","","","","","","",,,,,"",,,,"SYNC_EXTRACT.specification",1,1,"",""
"SYNC_EXTRACT.items","SYNC_EXTRACT.items","","","",0,*,"","","","http://openehr.org/fhir/StructureDefinition/CONTRIBUTION {[]} {[]}
","Content, in the form of a serialised Contributions.","Content, in the form of a serialised Contributions.","","","","","","","","","",,,,,"",,,,"SYNC_EXTRACT.items",0,*,"",""
