"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"ISM_TRANSITION","ISM_TRANSITION","","","",0,*,"","","","null {[]} {[]}
","Model of a transition in the Instruction State Machine, caused by a careflow step.","Model of a transition in the Instruction State Machine, caused by a careflow step. The attributes document the careflow step as well as the ISM transition. ","","","","","","","","","",,,,,"",,,,"Base",0,*,"","Current_state_valid:Current state valid {null # TODO: manual translation needed}
Transition_valid:Transition valid must be present {transition.exists() implies terminology (Terminology_id_openehr).\nhas_code_for_group_id (Group_id_instruction_transitions, transition.defining_code)}","n/a"
"ISM_TRANSITION.current-state","ISM_TRANSITION.current_state","","","",1,1,"","","","http://openehr.org/fhir/StructureDefinition/DV-CODED-TEXT {[]} {[]}
","The ISM current state.","The ISM current state. Coded by openEHR terminology group Instruction states.","","","","","","","","","",,,,,"",,,,"ISM_TRANSITION.current_state",1,1,"",""
"ISM_TRANSITION.transition","ISM_TRANSITION.transition","","","",0,1,"","","","http://openehr.org/fhir/StructureDefinition/DV-CODED-TEXT {[]} {[]}
","The ISM transition which occurred to arrive in the current_state.","The ISM transition which occurred to arrive in the current_state. Coded by openEHR terminology group  Instruction transitions.","","","","","","","","","",,,,,"",,,,"ISM_TRANSITION.transition",0,1,"",""
"ISM_TRANSITION.careflow-step","ISM_TRANSITION.careflow_step","","","",0,1,"","","","http://openehr.org/fhir/StructureDefinition/DV-CODED-TEXT {[]} {[]}
","The step in the careflow process which occurred as part of generating this action, e.","The step in the careflow process which occurred as part of generating this action, e.g.  dispense ,  start_administration. This attribute represents the clinical  label for the activity, as  opposed to current_state which represents  the state machine (ISM)  computable form. Defined in archetype.","","","","","","","","","",,,,,"",,,,"ISM_TRANSITION.careflow_step",0,1,"",""
"ISM_TRANSITION.reason","ISM_TRANSITION.reason","","","",0,*,"","","","http://openehr.org/fhir/StructureDefinition/DV-TEXT {[]} {[]}
","Optional possibility of adding one or more reasons for this careflow step having been taken.","Optional possibility of adding one or more reasons for this careflow step having been taken. Multiple reasons may occur in medication management for example.","","","","","","","","","",,,,,"",,,,"ISM_TRANSITION.reason",0,*,"",""
