"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"MESSAGE","MESSAGE","","","",0,*,"","","","null {[]} {[]}
","A “message” is an authored, possibly signed, piece of content intended for one or more recipients.","A “message” is an authored, possibly signed, piece of content intended for one or more recipients. Since the recipient may or may not be known directly, recipients are specified in the `ADDRESSED_MESSAGE` class.","","","","","","","","","",,,,,"",,,,"Base",0,*,"","","n/a"
"MESSAGE.audit","MESSAGE.audit","","","",1,1,"","","","http://openehr.org/fhir/StructureDefinition/AUDIT-DETAILS {[]} {[]}
","Details of who actually created the message and when.","Details of who actually created the message and when. This is the person who entered the data or otherwise caused the message to be created, or might be a piece of software.","","","","","","","","","",,,,,"",,,,"MESSAGE.audit",1,1,"",""
"MESSAGE.author","MESSAGE.author","","","",1,1,"","","","http://openehr.org/fhir/StructureDefinition/PARTY-PROXY {[]} {[]}
","Party responsible for the message content, who may or may not be technically responsible for its creation (e.","Party responsible for the message content, who may or may not be technically responsible for its creation (e.g. by data entry etc).","","","","","","","","","",,,,,"",,,,"MESSAGE.author",1,1,"",""
"MESSAGE.content","MESSAGE.content","","","",1,1,"","","","http://openehr.org/fhir/StructureDefinition/MESSAGE-CONTENT {[]} {[]}
","Content of the message.","Content of the message.","","","","","","","","","",,,,,"",,,,"MESSAGE.content",1,1,"",""
"MESSAGE.signature","MESSAGE.signature","","","",0,1,"","","","string {[]} {[]}
","Optional signature by the author of message content in openPGP format.","Optional signature by the author of message content in openPGP format. The signature is created as a Hash and optional signing of the serialisation of this message object with this signature field Void.","","","","","","","","","",,,,,"",,,,"MESSAGE.signature",0,1,"",""
