"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"REFERENCE_RANGE","REFERENCE_RANGE","","","",0,*,"","","","null {[]} {[]}
","Defines a named range to be associated with any `DV_ORDERED` datum.","Defines a named range to be associated with any `DV_ORDERED` datum. Each such range is particular to the patient and context, e.g. sex, age, and any other factor which affects ranges. May be used to represent normal, therapeutic, dangerous, critical etc ranges.","","","","","","","","","",,,,,"",,,,"Base",0,*,"","Range_is_simple:Range is simple {null # TODO: manual translation needed}
","n/a"
"REFERENCE_RANGE.meaning","REFERENCE_RANGE.meaning","","","",1,1,"","","","http://openehr.org/fhir/StructureDefinition/DV-TEXT {[]} {[]}
","Term whose value indicates the meaning of this range, e.","Term whose value indicates the meaning of this range, e.g.  normal,  critical,  therapeutic  etc.","","","","","","","","","",,,,,"",,,,"REFERENCE_RANGE.meaning",1,1,"",""
"REFERENCE_RANGE.range","REFERENCE_RANGE.range","","","",1,1,"","","","http://openehr.org/fhir/StructureDefinition/DV-INTERVAL {[]} {[]}
","The data range for this meaning, e.","The data range for this meaning, e.g. critical  etc.","","","","","","","","","",,,,,"",,,,"REFERENCE_RANGE.range",1,1,"",""
