"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"AUTHORED_RESOURCE","AUTHORED_RESOURCE","","","",0,*,"","","","null {[]} {[]}
","Abstract idea of an online resource created by a human author.","Abstract idea of an online resource created by a human author. 
","","","","","","","","","",,,,,"",,,,"Base",0,*,"","Languages_available_valid:Languages available valid {languages_available().has (original_language)}
Revision_history_valid:Revision history valid must satisfy exclusive conditions {is_controlled xor revision_history .empty()}Current_revision_valid:Current revision valid must be present {(current_revision().exists() and is_controlled.not()) implies current_revision().is_equal (“(uncontrolled)”)}Translations_valid:Translations valid must be present {translations.exists() implies (translations.empty().not() and translations.not().has (orginal_language.code_string))}Description_valid:Description valid must be present {translations.exists() implies (description.details.for_all (d |\ntranslations.has_key (d.language.code_string)))}","n/a"
"AUTHORED_RESOURCE.original-language","AUTHORED_RESOURCE.original_language","","","",1,1,"","","","http://openehr.org/fhir/StructureDefinition/CODE-PHRASE {[]} {[]}
","Language in which this resource was initially authored.","Language in which this resource was initially authored. Although there is no language primacy of resources overall, the language of original authoring is required to ensure natural language translations can preserve quality. Language is relevant in both the description and ontology sections.","","","","","","","","","",,,,,"",,,,"AUTHORED_RESOURCE.original_language",1,1,"",""
"AUTHORED_RESOURCE.is-controlled","AUTHORED_RESOURCE.is_controlled","","","",0,1,"","","","boolean {[]} {[]}
","True if this resource is under any kind of change control (even file copying), in which case revision history is created.","True if this resource is under any kind of change control (even file copying), in which case revision history is created.","","","","","","","","","",,,,,"",,,,"AUTHORED_RESOURCE.is_controlled",0,1,"",""
"AUTHORED_RESOURCE.translations","AUTHORED_RESOURCE.translations","","","",0,1,"","","","http://openehr.org/fhir/StructureDefinition/TRANSLATION-DETAILS {[]} {[]}
","List of details for each natural-language translation made of this resource, keyed by language.","List of details for each natural-language translation made of this resource, keyed by language. For each translation listed here, there must be corresponding sections in all language-dependent parts of the resource. The `_original_language_` does not appear in this list.","","","","","","","","","",,,,,"",,,,"AUTHORED_RESOURCE.translations",0,1,"",""
"AUTHORED_RESOURCE.description","AUTHORED_RESOURCE.description","","","",0,1,"","","","http://openehr.org/fhir/StructureDefinition/RESOURCE-DESCRIPTION {[]} {[]}
","Description and lifecycle information of the resource.","Description and lifecycle information of the resource.","","","","","","","","","",,,,,"",,,,"AUTHORED_RESOURCE.description",0,1,"",""
"AUTHORED_RESOURCE.revision-history","AUTHORED_RESOURCE.revision_history","","","",0,1,"","","","http://openehr.org/fhir/StructureDefinition/REVISION-HISTORY {[]} {[]}
","The revision history of the resource.","The revision history of the resource. Only required if `_is_controlled_ = True` (avoids large revision histories for informal or private editing situations).","","","","","","","","","",,,,,"",,,,"AUTHORED_RESOURCE.revision_history",0,1,"",""
